index,song_id,title,artist,original_gender,language_detect,lyrics,predicted_gender,keywords,reasoning,raw_model_response
2,ObjectId(5714dee625ac0d8aee52f6a9),Boys Will Be Boys,Tata Young,Female,english,"2 Contributors Boys Will Be Boys Lyrics What's with you You're so hard to read You're telling me one thing You doing the other Just when I thought that you and I got it made You're going back on everything you said I heard it all a million times And I'm tired of listening Boys will be boys, girls will be girls Love comes and goes And guess what, guess what Sometimes it hurts You get trampled in the dirt And guess what, guess what That's the way of the world That's the way of the world Should have known That you would never change Everyone told me, but I didn't listen Oh no You got me running all around with your games Loving you is driving me insane If you could only change your ways But I'm tired of wishing Boys will be boys, girls will be girls Love comes and goes And guess what, guess what Sometimes it hurts You get trampled in the dirt And guess what, guess what That's the way of the world That's the way of the world Sometimes it hurts You get trampled in the dirt What could be worse Oh, I don't know All pain no joy I can't tell you 'cause I know boys will be boys Boys will be boys, girls will be girls Love comes and goes And guess what, guess what Sometimes it hurts You get trampled in the dirt And guess what, guess what That's the way of the world Girls will be girls Sometimes it hurts You get trampled in the dirt and guess what That's the way of the world That's the way of the world",female,"""I"", ""me"", ""my"", ""you're telling me"", ""I heard it all a million times"", ""I'm tired of listening"", ""I'm tired of wishing"", ""Loving you is driving me insane"", ""I know""","The lyrics appear to be written from a female perspective. The use of words and phrases such as ""I"", ""me"", ""my"", and ""I'm"" suggests a first-person narrative, and the speaker seems to be expressing emotions and thoughts that are typically associated with women. The speaker is expressing frustration and hurt due to the actions of someone else, which is also a common theme in female narratives. The phrase ""Loving you is driving me insane"" further supports this interpretation, as it implies a romantic relationship and the emotional distress that can come with it.","LYRICS: 
What's with you You're so hard to read You're telling me one thing You doing the other Just when I thought that you and I got it made You're going back on everything you said I heard it all a million times And I'm tired of listening Boys will be boys, girls will be girls Love comes and goes And guess what, guess what Sometimes it hurts You get trampled in the dirt And guess what, guess what That's the way of the world That's the way of the world Should have known That you would never change Everyone told me, but I didn't listen Oh no You got me running all around with your games Loving you is driving me insane If you could only change your ways But I'm tired of wishing Boys will be boys, girls will be girls Love comes and goes And guess what, guess what Sometimes it hurts You get trampled in the dirt And guess what, guess what That's the way of the world That's the way of the world Sometimes it hurts You get trampled in the dirt What could be worse Oh, I don't know All pain no joy I can't tell you 'cause I know boys will be boys Boys will be boys, girls will be girls Love comes and goes And guess what, guess what Sometimes it hurts You get trampled in the dirt And guess what, guess what That's the way of the world Girls will be girls Sometimes it hurts You get trampled in the dirt and guess what That's the way of the world That's the way of the world

GENDER: female  
KEYWORDS: ""I"", ""me"", ""my"", ""you're telling me"", ""I heard it all a million times"", ""I'm tired of listening"", ""I'm tired of wishing"", ""Loving you is driving me insane"", ""I know""
REASONING: The lyrics appear to be written from a female perspective. The use of words and phrases such as ""I"", ""me"", ""my"", and ""I'm"" suggests a first-person narrative, and the speaker seems to be expressing emotions and thoughts that are typically associated with women. The speaker is expressing frustration and hurt due to the actions of someone else, which is also a common theme in female narratives. The phrase ""Loving you is driving me insane"" further supports this interpretation, as it implies a romantic relationship and the emotional distress that can come with it."
3,ObjectId(5714dec525ac0d8aee39fb62),Feel My Body,Asami,Female,english,1 Contributor Feel My Body Lyrics I blow your mind. Check it on me Tamerawazu so crazy karamatteku no My deep wave modaeru yubi no mukau hou e Atashi wo nazotte (1:) Itsumo yori daitan na koe de Jirashitari nanka shinaide uh~ (I like your body next to me) Show me what you got don't be shy boy I will to touch your body so genteelly and smooth (2:) Feel my body like Ohh Ohh Ahh Ahh don't stop Come on boy work the thing so many things I'd like to do Taste my body like Ooh Ooh Ahh Ahh won't stop Come on boy freak the thing Tonight my body is yours Just yours I gleaming now check it on me Uzu wo maite I squeeze you afureteku no You bind me kono te ni kishimu tejou wo kakete Amai wana shikakete Kasaneta kuchibiru mo sugu ni Kawaite shimawanu uchi ni uh (You make my body go in on) Come baby undress me right now I'm holding back nothing. Will all come true (2) (1) (2) (2),female,"atashi (I), kono te ni (my hand), kuchibiru mo sugu ni (my lips immediately), uh (a more feminine expression of emotion), ""Come baby""","The lyrics suggest a female narrator, as she uses the first-person pronoun ""atashi"" and refers to her own body in a way that implies ownership and control. The use of ""kono te ni"" (my hand) and ""kuchibiru mo sugu ni"" (my lips immediately) further reinforces the idea that the narrator is female. Additionally, the use of the phrase ""Come baby"" suggests a more traditionally feminine tone and language.","LYRICS: I blow your mind. Check it on me Tamerawazu so crazy karamatteku no My deep wave modaeru yubi no mukau hou e Atashi wo nazotte (1:) Itsumo yori daitan na koe de Jirashitari nanka shinaide uh~ (I like your body next to me) Show me what you got don't be shy boy I will to touch your body so genteelly and smooth (2:) Feel my body like Ohh Ohh Ahh Ahh don't stop Come on boy work the thing so many things I'd like to do Taste my body like Ooh Ooh Ahh Ahh won't stop Come on boy freak the thing Tonight my body is yours Just yours I gleaming now check it on me Uzu wo maite I squeeze you afureteku no You bind me kono te ni kishimu tejou wo kakete Amai wana shikakete Kasaneta kuchibiru mo sugu ni Kawaite shimawanu uchi ni uh (You make my body go in on) Come baby undress me right now I'm holding back nothing. Will all come true (2) (1) (2) (2)  
GENDER: female  
KEYWORDS: atashi (I), kono te ni (my hand), kuchibiru mo sugu ni (my lips immediately), uh (a more feminine expression of emotion), ""Come baby""  
REASONING: The lyrics suggest a female narrator, as she uses the first-person pronoun ""atashi"" and refers to her own body in a way that implies ownership and control. The use of ""kono te ni"" (my hand) and ""kuchibiru mo sugu ni"" (my lips immediately) further reinforces the idea that the narrator is female. Additionally, the use of the phrase ""Come baby"" suggests a more traditionally feminine tone and language."
10,ObjectId(5714decd25ac0d8aee3fcf86),We Run Shit,DJ Honda,Male,english,"1 Contributor We Run Shit Lyrics Intro: Frukwan DJ Honda come at you (""Untouchable"") In the blaze whirlwind of fire, at your desire At your dispense, you, to whip out the untensils of Gravediggaz (""We Run Shit"") Comin' at you live, one, DJ Honda, one (""Untouchable"") Get 'em, get' me Verse 1: Poetic Stealth bomber, shattered ya armor, dot commer In New York, I don't be Karen like Donna Rap piranha, smoke that ass like marijuana Got more drama than E.M.S. street trauma Universal soul swingin' swords, sing in the wars In the underground level, no wonder I'm a rebel Carry my tape in the place, hot metal in ya face Gravedigga, put a nigga in the crate I be the, Judge like Judy, brown fist of fury Flows super sue me, get hung like a jury Analyze the poetry, who will ya household Item in the ghetto like, ""fuck the popostry"" Tony, T.I., bitch, mind ya B.I All see why I can't be denied My place, two thousand status, the baddest on the mic Grab a rabist in the battle like, fight like Cassius Clay figures are shattered, my raps that'll splatter Spray matter, I leave, it won't scatter at the venue Can't defeat Grym, you weak, for all the men Who tried, die, pressure I apply Acute sciencitis, I rhyme the tighest A king like Midas, rock go' gold the finest Build like a carpenter type, when I sharpen this mic I bring light and be bombin' like Christ Chorus: DJ Honda scratches samples ""We run shit!"" ""Pay attention"" - Prodigy ""We run shit!"" ""Untouchable"" ""Keepin' ya niggas in perspective"" - Prodigy ""We run shit!"" ""Pay attention"" - Prodigy ""We run shit!"" ""Untouchable"" ""Keepin' ya niggas in perspective"" Verse 2: Frukwan Paralyzin' traits are great, hit crates, collect stake Smash across ya back wit the whip Nigga surrounded like the false pretender Sugar coated niggas get checked off their agenda Air Space One, why phony niggas like to talk? Gravediggaz, Honda, lookin' for drama The deadliest act, deadly as pack, commence attack The whole fuckin' airwaves gettin' jacked Poetic Contact Honda, each flounder count money to launder Streets tight as anaconda, Grym spit a verse in the killa hurse Watch a nigga work underground wit the Gravedigga dirt sound gritty Witty, raw, ready for war, no pity, like doin' a tour in New York City A year ago today doctor's gave me, three months to live I survived for this hip hop shit! Chorus Verse 3: Frukwan Shots of novacain, I'm enough to bring Still I reign, obtain, critical fame I hunt, niggas that front, cuz niggas is chumps Blowin' this shit, left in the bottomless pit Rarer than rare, one wit the atmosphere Now ya evoid, strenghtly on a mission to destroy The tedius proposition: paratroop recruits Bat then swoops, iron palm box the booth Walk on air, break it there, flash fear Cuz cats better beware, ya three strikes there Phelonious monk, I do it all month We fourth down, give the ball to Honda to punt Faster blunt, the junkie, niggas feelin' lucky Another drop, why another truck, he stop The overthug player hatin', the hype material type That flash wit the blindin' light, that out of sight Overdrive til the brother's survive, touch through the unknown What I rule on the golden throne, Gravediggaz, what? Chorus to end",,,,"LYRICS: 
Contributor We Run Shit Lyrics Intro: Frukwan DJ Honda come at you (""Untouchable"") In the blaze whirlwind of fire, at your desire At your dispense, you, to whip out the untensils of Gravediggaz (""We Run Shit"") Comin' at you live, one, DJ Honda, one (""Untouchable"") Get 'em, get' me Verse 1: Poetic Stealth bomber, shattered ya armor, dot commer In New York, I don't be Karen like Donna Rap piranha, smoke that ass like marijuana Got more drama than E.M.S. street trauma Universal soul swingin' swords, sing in the wars In the underground level, no wonder I'm a rebel Carry my tape in the place, hot metal in ya face Gravedigga, put a nigga in the crate I be the, Judge like Judy, brown fist of fury Flows super sue me, get hung like a jury Analyze the poetry, who will ya household Item in the ghetto like, ""fuck the popostry"" Tony, T.I., bitch, mind ya B.I All see why I can't be denied My place, two thousand status, the baddest on the mic Grab a rabist in the battle like, fight like Cassius Clay figures are shattered, my raps that'll splatter Spray matter, I leave, it won't scatter at the venue Can't defeat Grym, you weak, for all the men Who tried, die, pressure I apply Acute sciencitis, I rhyme the tighest A king like Midas, rock go' gold the finest Build like a carpenter type, when I sharpen this mic I bring light and be bombin' like Christ Chorus: DJ Honda scratches samples ""We run shit!"" ""Pay attention"" - Prodigy ""We run shit!"" ""Untouchable"" ""Keepin' ya niggas in perspective"" - Prodigy ""We run shit!"" ""Pay attention"" - Prodigy ""We run shit!"" ""Untouchable"" ""Keepin' ya niggas in perspective"" Verse 2: Frukwan Paralyzin' traits are great, hit crates, collect stake Smash across ya back wit the whip Nigga surrounded like the false pretender Sugar coated niggas get checked off their agenda Air Space One, why phony niggas like to talk? Gravediggaz, Honda, lookin' for drama"
20,ObjectId(5714dec325ac0d8aee38939b),True Love,Aiza Seguerra,Female,english,"4 Contributors True Love Lyrics I give to you and you give to me True love, true love So on and on it will always be True love, true love For you and I have a guardian angel on high With nothing to do But to give to you and to give to me Love forever true For you and I have a guardian angel on high With nothing to do But to give to you and to give to me Love forever true But to give to you and to give to me True love, true love And from now on it will always be Love forever true Love forever true",female,"""I give to you and you give to me"", ""For you and I"", ""you and me""","The use of ""I"" and ""me"" in the lyrics suggests a female narrator, as females tend to use more inclusive language that emphasizes mutual relationships. The phrase ""For you and I"" is also a characteristic of female speech patterns, as it is a more polite and collaborative way of speaking. Additionally, the narrator's focus on giving love and having a guardian angel watching over the relationship implies a nurturing and caring tone, which is often associated with feminine qualities.","LYRICS: 
I give to you and you give to me True love, true love 
So on and on it will always be True love, true love 
For you and I have a guardian angel on high 
With nothing to do 
But to give to you and to give to me 
Love forever true 
For you and I have a guardian angel on high 
With nothing to do 
But to give to you and to give to me 
Love forever true 
But to give to you and to give to me 
True love, true love 
And from now on it will always be 
Love forever true 
Love forever true

GENDER: female  
KEYWORDS: ""I give to you and you give to me"", ""For you and I"", ""you and me""  
REASONING: The use of ""I"" and ""me"" in the lyrics suggests a female narrator, as females tend to use more inclusive language that emphasizes mutual relationships. The phrase ""For you and I"" is also a characteristic of female speech patterns, as it is a more polite and collaborative way of speaking. Additionally, the narrator's focus on giving love and having a guardian angel watching over the relationship implies a nurturing and caring tone, which is often associated with feminine qualities."
24,ObjectId(5714ded725ac0d8aee47cbc9),Bumpy-Jumpy!,Kotoko,Female,english,"1 Contributor Bumpy-Jumpy! Lyrics 瞼(まぶた)をそっと伏せた 青い宝石みたいな波打ち際が忘れられなくて 太陽の合図で僕ら駆け回った 雲の音符でどこまでも飛べた夏 ずっと続くと信じてたあの季節(とき)も 大きな波がさらってく ""想い出""と言う名をつけて 飽くなき思いに手を伸ばそう 君がくれた輝き 胸(ここ)に残ってるから 本物の夏に出逢えた今 So,just going bumpy road 進めるよ 海風の悪戯で よそ見する向日葵 見飽きるほどの笑顔が嬉しかった 誰も変わらないはずの あの日々を 大っきな空色の夢に塗り替え 駆け抜けた人 それぞれの明日を見に行こう 耳を澄ませば 波音 胸(ここ)に戻ってくるから 本物の愛に触(さわ)れた今 Smile and just say bye-bye 手を振るよ いくら時が経っても色あせない写真を 胸ポケットに入れて 海(ここ)へ来ても 君は許してくれるかな？ 閉じかけた瞼を見開こう 砂に落ちた雫は風が運んでくから 本物の夏に再び会おう It's my firm promise to you その日まで We are feeling bumpy-Jumpy! So there! I don't stop absoutely Call our name,say bumpy-Jumpy! Shining my way We are feeling bumpy-Jumpy! So there! I don't stop absolutely Call our name,say bumpy-Jumpy! year!",male,"僕ら, 太陽の合図で, 駆け回った, 大きな波がさらってく, 本物の夏に出逢えた今, 進めるよ, 駆け抜けた人, 本物の愛に触れた今, 手を振るよ, 閉じかけた瞼を見開こう, その日まで","The use of the word ""僕ら"" (bokura) is a key indicator of a male narrator, as it is a grammatical feature","LYRICS: 
瞼(まぶた)をそっと伏せた 青い宝石みたいな波打ち際が忘れられなくて 太陽の合図で僕ら駆け回った 雲の音符でどこまでも飛べた夏 ずっと続くと信じてたあの季節(とき)も 大きな波がさらってく ""想い出""と言う名をつけて 飽くなき思いに手を伸ばそう 君がくれた輝き 胸(ここ)に残ってるから 本物の夏に出逢えた今 So,just going bumpy road 進めるよ 海風の悪戯で よそ見する向日葵 見飽きるほどの笑顔が嬉しかった 誰も変わらないはずのあの日々を 大っきな空色の夢に塗り替え 駆け抜けた人 それぞれの明日を見に行こう 耳を澄ませば 波音 胸(ここ)に戻ってくるから 本物の愛に触(さわ)れた今 Smile and just say bye-bye 手を振るよ いくら時が経っても色あせない写真を 胸ポケットに入れて 海(ここ)へ来ても 君は許してくれるかな？ 閉じかけた瞼を見開こう 砂に落ちた雫は風が運んでくから 本物の夏に再び会おう It's my firm promise to you その日まで We are feeling bumpy-Jumpy! So there! I don't stop absoutely Call our name,say bumpy-Jumpy! Shining my way We are feeling bumpy-Jumpy! So there! I don't stop absolutely Call our name,say bumpy-Jumpy! year!
GENDER: male
KEYWORDS: 僕ら, 太陽の合図で, 駆け回った, 大きな波がさらってく, 本物の夏に出逢えた今, 進めるよ, 駆け抜けた人, 本物の愛に触れた今, 手を振るよ, 閉じかけた瞼を見開こう, その日まで
REASONING: The use of the word ""僕ら"" (bokura) is a key indicator of a male narrator, as it is a grammatical feature"
25,ObjectId(5714dee325ac0d8aee50d7bf),One More Cup Of Coffee,Sertab Erener,Female,english,"2 Contributors One More Cup of Coffee Lyrics Verse 1 Your breath is sweet, and your eyes i like Two jewels in the sky Your back is straight your hair is smooth On the pillow where you lie But I don't sense affection No gratitude or love Your Royalty is not me but to the stars above Chorus One more cup of coffee for the road One more cup of coffee for I go To the valley below Verse 2 Your daddy he's an outlaw And a wanderer by trade He'll teach you how to pick an choose And how to throw the blade And he oversees his kingdom So no stranger does intrude His voice it trembles as he calls out For another plate of food Chorus One more cup of coffee for the road One more cup of coffee for I go To the valley below Verse 3 Your sister sees the future Like your momma and yourself You've never learned to read or write There's no books upon your shelf And your pleasure know no limits Your voice is like a meadow larks But your heart is like an ocean Mysterious and dark Chorus One more cup of coffee for the road One more cup of coffee for I go To the valley below",female,"""your eyes i like"", ""your back is straight your hair is smooth"", ""your voice is like a meadow larks"", ""your heart is like an ocean Mysterious and dark""","The lyrics describe the narrator's affection and admiration for the subject, using words like ""sweet"", ""jewels in the sky"", and ""meadow larks"" to create a poetic and gentle image. The comparison of the subject's heart to an ""ocean"" also suggests a depth and complexity often associated with feminine emotions. Additionally, the narrator's focus on the subject's physical appearance and personality traits, such as ""your back is straight your hair is smooth"", is a common way to describe a female in a romantic or admiring context.","LYRICS: 
2 Contributors One More Cup of Coffee 
GENDER: female 
KEYWORDS: ""your eyes i like"", ""your back is straight your hair is smooth"", ""your voice is like a meadow larks"", ""your heart is like an ocean Mysterious and dark"" 
REASONING: The lyrics describe the narrator's affection and admiration for the subject, using words like ""sweet"", ""jewels in the sky"", and ""meadow larks"" to create a poetic and gentle image. The comparison of the subject's heart to an ""ocean"" also suggests a depth and complexity often associated with feminine emotions. Additionally, the narrator's focus on the subject's physical appearance and personality traits, such as ""your back is straight your hair is smooth"", is a common way to describe a female in a romantic or admiring context."
28,ObjectId(5714decb25ac0d8aee3e45e7),Forever,Crystal Kay,Female,english,"3 Contributors Forever Lyrics クリスタルケイ「Forever」歌詞 Verse 1 二人ならいつでも burning up, up, up 跡形もなくなるまで, ay, yo (Oh, ooh, ooh) Me and you (Oh, ooh, ooh) Forever Pre-Chorus Ever, ever, forever Ever, ever, hush, hush 外野がうるさい, crazy 無意味に noisy Chorus I can see it in your eyes 言葉よりも強く語る You love to love to love to love to love to love me Can you see it in my eyes? 誰よりも何よりも so special I love to love to love to love to love to love to love you, ooh, oh Verse 2 深入りした後の breakup (Up, up, up) 怖がるからまたはまる, ooh, ooh, so (Oh, ooh, ooh) Make it last (Oh, ooh, ooh) Forever Pre-Chorus Ever, ever, forever Ever, ever, hush, hush 外野がうるさい, crazy 無意味に noisy Chorus I can see it in your eyes 言葉よりも強く語る You love to love to love to love to love to love me Can you see it in my eyes? 誰よりも何よりも so special I love to love to love to love to love to love to love you, ooh, oh Bridge Oh, this love is one of a kind Baby, you are always on my mind 簡単に飛び越えたライン 永遠に離れられない I'mma follow you, follow you, follow you, follow you, follow you Follow you, follow you, follow you, follow you, follow you Baby, follow me, follow me, follow me, follow me Baby, follow me, follow me, follow me, forever Pre-Chorus Ever, ever, forever Ever, ever, hush, hush 外野がうるさい, crazy 無意味に noisy (Oh) Chorus I can see it in your eyes 言葉よりも強く語る You love to love to love to love to love to love me Can you see it in my eyes? 誰よりも何よりも so special I love to love to love to love to love to love to love you, ooh Outro Ooh-ooh, ooh-ooh",male,"""burning up"", ""Me and you"", ""so special""","The use of the phrase ""Me and you"" suggests a casual, informal tone that is often associated with male perspectives. Additionally, the lyrics emphasize the idea of a romantic connection (""so special"") without expressing any specific emotions or vulnerabilities that are commonly associated with female perspectives. The overall tone of the lyrics is upbeat and energetic, which is consistent with a male narrator.","LYRICS: 
""二人ならいつでも burning up, up, up 跡形もなくなるまで, ay, yo (Oh, ooh, ooh) Me and you (Oh, ooh, ooh) Forever... 
...誰よりも何よりも so special I love to love to love to love to love to love to love you, ooh, oh""
GENDER: male
KEYWORDS: ""burning up"", ""Me and you"", ""so special""
REASONING: The use of the phrase ""Me and you"" suggests a casual, informal tone that is often associated with male perspectives. Additionally, the lyrics emphasize the idea of a romantic connection (""so special"") without expressing any specific emotions or vulnerabilities that are commonly associated with female perspectives. The overall tone of the lyrics is upbeat and energetic, which is consistent with a male narrator."
33,ObjectId(5714dede25ac0d8aee4cda00),Deliver Us,Ofra Haza,Female,english,"37 Contributors Deliver Us Lyrics The opening song introduces the setting of our story: An enslaved nation, the Hebrews, subjugated in Egypt and desperately calling to God for rescue and to fulfil His deliverance of His people to the Promised… Read More OVERSEERS and SLAVES Mud! Sand! Water! Straw! Faster! Mud - and lift! Sand - and pull! Water - and raise up! Straw! GUARD Faster! SLAVES With the sting of the whip on my shoulder With the salt of my sweat on my brow Elohim, God on high Can You hear Your people cry? Help us now This dark hour Deliver us Hear our call, deliver us Lord of all, remember us Here in this burning sand Deliver us There's a land You promised us Deliver us to the Promised Land YOCHEVED Yal-di ha-tov veh ha-rach Al ti-ra veh al tif-chad My son, I have nothing I can give But this chance that you may live I pray we'll meet again If He will deliver us SLAVES Deliver us Hear our prayer Deliver us From despair These years of slavery grow too cruel to stand Deliver us There's a land You promised us Deliver us Out of bondage, and Deliver us to the Promised Land YOCHEVED Hush now, my baby Be still, love, don't cry Sleep as you're rocked by the stream Sleep and remember my last lullaby So I'll be with you when you dream River, o river Flow gently for me Such precious cargo you bear Do you know somewhere he can live free? River, deliver him there YOUNG MIRIAM Brother, you're safe now And safe may you stay For I have a prayer just for you Grow, baby brother Come back someday Come and deliver us, too SLAVES Deliver us Send a shepherd to shepherd us And deliver us to the Promised Land Deliver us to the Promised Land YOCHEVED Deliver us",male,"'my son','my baby', 'brother', 'I have a prayer just for you'","The use of masculine possessive pronouns'my son','my baby', and 'brother' suggests that the narrator is a male, likely a father or an older male figure. The phrase ""I have a prayer just for you"" further reinforces this interpretation, as it implies a paternal relationship and a sense of responsibility.","LYRICS: 
37 Contributors Deliver Us 
GENDER: male 
KEYWORDS:'my son','my baby', 'brother', 'I have a prayer just for you'
REASONING: The use of masculine possessive pronouns'my son','my baby', and 'brother' suggests that the narrator is a male, likely a father or an older male figure. The phrase ""I have a prayer just for you"" further reinforces this interpretation, as it implies a paternal relationship and a sense of responsibility."
36,ObjectId(5714dede25ac0d8aee4c7520),Someday,Nina,Female,english,"7 Contributors Someday Lyrics Verse 1 Someday, you're gonna realize One day, you'll see this through my eyes By then I won't even be there I'll be happy somewhere Even if I can't Verse 2 I know you don't really see my worth You think you're the last guy on earth Well, I've got news for you I know that I'm not that strong But it won't take long, won't take long Chorus 'Cause someday, someone's gonna love me The way I wanted you to need me Someday, someone's gonna take your place One day, I'll forget about you You'll see I won't even miss you Someday, someday Verse 3 Right now I know you can't tell I'm down and I'm not doing well But one day these tears, they will all run dry I won't have to cry sweet goodbye Chorus 'Cause someday, someone's gonna love me The way I wanted you to need me Someday, someone's gonna take your place Oh, one day I'll forget about you You'll see I won't even miss you Someday, I know someone's gonna be there Someday, someone's gonna love me The way I wanted you to need me Someday, someone's gonna take your place One day, I'll forget about you You'll see I won't even miss you Someday, someday Ah-ah, yeah-yeah",male,"""you're gonna realize"", ""I'm not that strong"", ""the last guy on earth"", ""I'm down and I'm not doing well""","The lyrics appear to be written from a male perspective due to the use of phrases such as ""you're gonna realize"" and ""I'm not that strong"", which are more typical of masculine language patterns. The speaker also uses words like ""guy"" to refer to a romantic partner, which is a colloquialism often associated with male speech. Additionally, the overall tone of the lyrics is one of vulnerability and hope, which is a common theme in male songwriting.","LYRICS: 
Someday, you're gonna realize 
One day, you'll see this through my eyes 
By then I won't even be there 
I'll be happy somewhere 
Even if I can't 
I know you don't really see my worth 
You think you're the last guy on earth 
Well, I've got news for you 
I know that I'm not that strong 
But it won't take long, won't take long 
'Cause someday, someone's gonna love me 
The way I wanted you to need me 
Someday, someone's gonna take your place 
One day, I'll forget about you 
You'll see I won't even miss you 
Someday, someday 
Right now I know you can't tell 
I'm down and I'm not doing well 
But one day these tears, they will all run dry 
I won't have to cry sweet goodbye 
'Cause someday, someone's gonna love me 
The way I wanted you to need me 
Someday, someone's gonna take your place 
Oh, one day I'll forget about you 
You'll see I won't even miss you 
Someday, I know someone's gonna be there 
Someday, someone's gonna love me 
The way I wanted you to need me 
Someday, someone's gonna take your place 
One day, I'll forget about you 
You'll see I won't even miss you 
Someday, someday 
Ah-ah, yeah-yeah

GENDER: male
KEYWORDS: ""you're gonna realize"", ""I'm not that strong"", ""the last guy on earth"", ""I'm down and I'm not doing well""
REASONING: The lyrics appear to be written from a male perspective due to the use of phrases such as ""you're gonna realize"" and ""I'm not that strong"", which are more typical of masculine language patterns. The speaker also uses words like ""guy"" to refer to a romantic partner, which is a colloquialism often associated with male speech. Additionally, the overall tone of the lyrics is one of vulnerability and hope, which is a common theme in male songwriting."
38,ObjectId(5714dee325ac0d8aee50f956),The Same Sad Song,Sharon Cuneta,Female,english,"2 Contributors The Same Sad Song Lyrics Verse 1 There it goes again That same sad song There it goes again That familiar haunting melody It reminds me of the past When the two of us declared Our love would last Now, there it goes again That same sad song Verse 2 There it goes again This pain in my heart It hurts me every time They play that haunting melody It reminds me of the night we cried The song was playing As we said goodbye Now, there it goes again That same sad song Chorus Baby, could we start over And love as before? And could we be lovers And love even more Or could we pretend that our love Would never end? Baby, could we start over And love as before? And could we be lovers And love even more Or could we pretend that our love Would never end? Just pretend, just pretend Ooh, ooh Verse 1 There it goes again That same sad song There it goes again That familiar haunting melody It reminds me of the past When the two of us declared Our love would last Now, there it goes again That same sad song Chorus Baby, could we start over And love as before? And could we be lovers And love even more Or could we pretend that our love Would never end? Baby, could we start over And love as before? And could we be lovers And love even more Or could we pretend that our love Would never end? Just pretend, just pretend Hey, hey, hey Verse 2 There it goes again This pain in my heart It hurts me every time They play that haunting melody It reminds me of the night we cried The song was playing As we said goodbye Now, there it goes again That same sad song Outro Now, there it goes again That same sad song Now, there it goes again That same sad song",female,"""pain in my heart,"" ""reminds me of the night we cried,"" ""As we said goodbye,"" ""just pretend, just pretend""","The lyrics suggest a female narrator who is reflecting on a past relationship that has ended. The use of phrases like ""pain in my heart"" and ""reminds me of the night we cried"" implies a more emotional and empathetic tone often associated with female experiences. The repeated refrain of ""just pretend"" also suggests a more introspective and emotional perspective, which is often characteristic of female song","LYRICS: 
There it goes again That same sad song
There it goes again That familiar haunting melody
It reminds me of the past
When the two of us declared
Our love would last
Now, there it goes again That same sad song
There it goes again
This pain in my heart
It hurts me every time
They play that haunting melody
It reminds me of the night we cried
The song was playing
As we said goodbye
Now, there it goes again That same sad song
Baby, could we start over
And love as before?
And could we be lovers
And love even more
Or could we pretend that our love
Would never end?
Baby, could we start over
And love as before?
And could we be lovers
And love even more
Or could we pretend that our love
Would never end?
Just pretend, just pretend
Ooh, ooh
There it goes again That same sad song
There it goes again
That familiar haunting melody
It reminds me of the past
When the two of us declared
Our love would last
Now, there it goes again That same sad song
Baby, could we start over
And love as before?
And could we be lovers
And love even more
Or could we pretend that our love
Would never end?
Baby, could we start over
And love as before?
And could we be lovers
And love even more
Or could we pretend that our love
Would never end?
Just pretend, just pretend
Hey, hey, hey
There it goes again
This pain in my heart
It hurts me every time
They play that haunting melody
It reminds me of the night we cried
The song was playing
As we said goodbye
Now, there it goes again That same sad song
Now, there it goes again That same sad song
Now, there it goes again That same sad song
GENDER: female
KEYWORDS: ""pain in my heart,"" ""reminds me of the night we cried,"" ""As we said goodbye,"" ""just pretend, just pretend""
REASONING: The lyrics suggest a female narrator who is reflecting on a past relationship that has ended. The use of phrases like ""pain in my heart"" and ""reminds me of the night we cried"" implies a more emotional and empathetic tone often associated with female experiences. The repeated refrain of ""just pretend"" also suggests a more introspective and emotional perspective, which is often characteristic of female song"
