index,song_id,title,artist,original_gender,original_continent,language_detect,lyrics,predicted_gender,predicted_continent,keywords,reasoning,raw_model_response
1313,ObjectId(5714dec925ac0d8aee3cd796),Symphony Of Life,Casey Donovan,Female,Oceania,english,1 Contributor Symphony Of Life Lyrics Stars are shinning in your eyes And I begin to realise That our path through times unbroken Do you know what it's like When a mirror never lies And the truth remains unspoken And we dance into the fire 'Cause our spirits take us higher Do you feel me now Burning like a flame The gravity of love In the symphony of life There's a place I've never been Where there's angels gathering And they talk about the future And we dance into the fire 'Cause our spirits take us higher Do you feel me now Burning like a flame The gravity of love In the symphony of life Fiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiire!!! Do you feel me now Burning like a flame If you touch me Then I may disappear Floating though your eyes How do we resist The gravity of love In the symphony of life In the symphony of life,male,North America,"""stars in your eyes"", ""we dance into the fire"", ""spirits take us higher"", ""gravity of love"", ""symphony of life"", ""mirrors never lies"", ""touch me"", ""may disappear""","I inferred that the narrator is male because of the use of words like ""I"", ""me"", and ""we"" which suggests a masculine perspective. The language and tone used are also quite poetic and expressive, which is a common trait in North American music, particularly in the genre of R&B and soul. The lyrics also contain phrases like ""we dance into the fire"" and ""spirits take us higher"" which are reminiscent of American soul and R&B music, further supporting the North American origin.","LYRICS: Stars are shinning in your eyes And I begin to realise That our path through times unbroken Do you know what it's like When a mirror never lies And the truth remains unspoken And we dance into the fire 'Cause our spirits take us higher Do you feel me now Burning like a flame The gravity of love In the symphony of life There's a place I've never been Where there's angels gathering And they talk about the future And we dance into the fire 'Cause our spirits take us higher Do you feel me now Burning like a flame The gravity of love In the symphony of life Fiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiire!!! Do you feel me now Burning like a flame If you touch me Then I may disappear Floating though your eyes How do we resist The gravity of love In the symphony of life In the symphony of life

GENDER: male
CONTINENT: North America
KEYWORDS: ""stars in your eyes"", ""we dance into the fire"", ""spirits take us higher"", ""gravity of love"", ""symphony of life"", ""mirrors never lies"", ""touch me"", ""may disappear""
REASONING: I inferred that the narrator is male because of the use of words like ""I"", ""me"", and ""we"" which suggests a masculine perspective. The language and tone used are also quite poetic and expressive, which is a common trait in North American music, particularly in the genre of R&B and soul. The lyrics also contain phrases like ""we dance into the fire"" and ""spirits take us higher"" which are reminiscent of American soul and R&B music, further supporting the North American origin."
1314,ObjectId(5714dedf25ac0d8aee4ddaab),The Lost Peace,Peter Koppes,Male,Oceania,english,"2 Contributors The Lost Peace Lyrics Now you work it out Without fear of a doubt Not everything you touch will turn to gold You make me trun around If you raise your breath to shout Not everyone's who's brave it seems are bold So thanks very much It's not my right to judge Probably won't have the time to say goodbye Did you realize you've sold Those secrets I did hold A piece of mind, piece of mind First you say you won't Then you say you will Makes me feel like staying here and standing very still So if you've got the number Of a faithful friend to number Use it now, your time spent here's worth little So don't hold me back You won't catch me in this sad And tragic celebrations always pass me by And experience at cost Well you can't call it lost A piece of mind, peace of mind There may be a solution If we all agree to choose one Answers won't come falling from the sky The truth won't land you blind It's all we hope to find And you know something always comes along",female,North America,"""faithful friend"", ""celebrations"", ""faith"", ""agreement"", ""peace of mind"", ""solution""","The lyrics suggest a strong focus on emotional introspection, self-doubt, and relationships, which is a common theme in North American music. The phrase ""faithful friend"" and ""faith"" implies a strong emphasis on relationships and trust, which is often a theme in North American music. The use of words like ""celebrations"" and ""solution"" also suggests a more optimistic and problem-solving approach, which is also common in North American music. The tone of the lyrics is introspective and emotional, which is often characteristic of female singer-songwriters in North America.","LYRICS: 
Now you work it out Without fear of a doubt 
Not everything you touch will turn to gold 
You make me turn around 
If you raise your breath to shout 
Not everyone's who's brave it seems are bold 
So thanks very much 
It's not my right to judge 
Probably won't have the time to say goodbye 
Did you realize you've sold 
Those secrets I did hold 
A piece of mind, piece of mind 
First you say you won't 
Then you say you will 
Makes me feel like staying here and standing very still 
So if you've got the number 
Of a faithful friend to number 
Use it now, your time spent here's worth little 
So don't hold me back 
You won't catch me in this sad 
And tragic celebrations always pass me by 
And experience at cost 
Well you can't call it lost 
A piece of mind, peace of mind 
There may be a solution 
If we all agree to choose one 
Answers won't come falling from the sky 
The truth won't land you blind 
It's all we hope to find 
And you know something always comes along

GENDER: female
CONTINENT: North America
KEYWORDS: ""faithful friend"", ""celebrations"", ""faith"", ""agreement"", ""peace of mind"", ""solution""
REASONING: The lyrics suggest a strong focus on emotional introspection, self-doubt, and relationships, which is a common theme in North American music. The phrase ""faithful friend"" and ""faith"" implies a strong emphasis on relationships and trust, which is often a theme in North American music. The use of words like ""celebrations"" and ""solution"" also suggests a more optimistic and problem-solving approach, which is also common in North American music. The tone of the lyrics is introspective and emotional, which is often characteristic of female singer-songwriters in North America."
1315,ObjectId(5714dedf25ac0d8aee4dd2fe),Once Before I Go,Peter Allen,Male,Oceania,english,"3 Contributors Once Before I Go Lyrics Verse 1 Once before I go I want you to know That I would do it all again I'm sure I'd make the same mistakes That I could make it through the pains And joys and aches I knew back then Verse 2 I would do it all I'd do it all again before I go I want you to know That I look back with no regrets And when our luck was wearing thin And we were down and out And still came back to win against all bets Now when I look back I still have no regrets Chorus 1 And it's so hard to say goodbyes When there's so much that's left unspoken in your eyes But unless I spread my wings again, I'm afraid I'll never soar So hang on to the memories and hold me close once more Refrain Once more, just once before I go I want you to know That I have loved you all along And even when we're far apart I only need to feel you're living in my heart And I'll be strong Interlude I'll love you just the way I've loved you all along Chorus 3 And it's so hard to say goodbyes When there's so much that's left unspoken in your eyes But unless I spread my wings again, I'm afraid I'll never soar So kiss me for the last time and hold me close once more Refrain Once more, just once before I go I want you to know That I have loved you all along And even when we're far apart I only need to feel you're living in my heart And I'll be strong Outro You are the light that shines on me You always were and you'll always be So I had to let you know, just this once Just this once before I go",female,North America,"""goodbyes"", ""soar"", ""memories"", ""heart"", ""love""","Based on the lyrical content, tone, and language style, I inferred that the narrator is a female. The language used is emotive and expressive, with a focus on relationships and emotional connections. The use of words like ""goodbyes"", ""memories"", and ""heart"" suggests a more empathetic and nurturing tone, which is often associated with female perspectives. Additionally, the narrator's introspective and emotional language suggests a more empathetic and emotionally expressive personality, which is also more","LYRICS: 
Once before I go I want you to know  
That I would do it all again  
I'm sure I'd make the same mistakes  
That I could make it through the pains  
And joys and aches I knew back then  
I would do it all I'd do it all again before I go  
I want you to know  
That I look back with no regrets  
And when our luck was wearing thin  
And we were down and out  
And still came back to win against all bets  
Now when I look back I still have no regrets  
And it's so hard to say goodbyes  
When there's so much that's left unspoken in your eyes  
But unless I spread my wings again, I'm afraid I'll never soar  
So hang on to the memories and hold me close once more  
Once more, just once before I go  
I want you to know  
That I have loved you all along  
And even when we're far apart  
I only need to feel you're living in my heart  
And I'll be strong  
I'll love you just the way I've loved you all along  
And it's so hard to say goodbyes  
When there's so much that's left unspoken in your eyes  
But unless I spread my wings again, I'm afraid I'll never soar  
So kiss me for the last time and hold me close once more  
Once more, just once before I go  
I want you to know  
That I have loved you all along  
And even when we're far apart  
I only need to feel you're living in my heart  
And I'll be strong  
You are the light that shines on me  
You always were and you'll always be  
So I had to let you know, just this once  
Just this once before I go

GENDER: female
CONTINENT: North America
KEYWORDS: ""goodbyes"", ""soar"", ""memories"", ""heart"", ""love""
REASONING: 
Based on the lyrical content, tone, and language style, I inferred that the narrator is a female. The language used is emotive and expressive, with a focus on relationships and emotional connections. The use of words like ""goodbyes"", ""memories"", and ""heart"" suggests a more empathetic and nurturing tone, which is often associated with female perspectives. Additionally, the narrator's introspective and emotional language suggests a more empathetic and emotionally expressive personality, which is also more"
1316,ObjectId(5714ded225ac0d8aee440306),Amazing Grace,Hayley Westenra,Female,Oceania,english,"5 Contributors Amazing Grace Lyrics Amazing grace, how sweet the sound That saved a wretch like me I once was lost, but now am found Was blind, but now I see 'Twas grace that taught my heart to fear And grace my fears relieved How precious did that grace appear The hour I first believed Through many dangers, toils and snares We have already come 'Twas grace that brought us safe thus far And grace will lead us home When we've been there ten thousand years Bright shining as the sun We've no less days to sing God's praise Than when we first begun Than when we first begun",male,North America,"'wretch', 'fear', 'God', 'grace', 'praise', 'heart','saved'","The lyrics appear to be written from a male perspective, as the language used is formal and traditional, and the use of words like 'wretch' and 'heart' suggests a more masculine tone. The lyrics also reference Christian themes and use a style reminiscent of traditional hymns, which is commonly associated with North American Christian music. The mention of 'God' and 'grace' also points towards a Christian context, which is prevalent in North America. The language pattern is also similar to traditional Christian hymns, which were often written in a more formal and poetic style.","LYRICS: 
Amazing Grace, how sweet the sound That saved a wretch like me I once was lost, but now am found Was blind, but now I see 'Twas grace that taught my heart to fear And grace my fears relieved How precious did that grace appear The hour I first believed Through many dangers, toils and snares We have already come 'Twas grace that brought us safe thus far And grace will lead us home When we've been there ten thousand years Bright shining as the sun We've no less days to sing God's praise Than when we first begun Than when we first begun

GENDER: male  
CONTINENT: North America  
KEYWORDS: 'wretch', 'fear', 'God', 'grace', 'praise', 'heart','saved'
REASONING: 
The lyrics appear to be written from a male perspective, as the language used is formal and traditional, and the use of words like 'wretch' and 'heart' suggests a more masculine tone. The lyrics also reference Christian themes and use a style reminiscent of traditional hymns, which is commonly associated with North American Christian music. The mention of 'God' and 'grace' also points towards a Christian context, which is prevalent in North America. The language pattern is also similar to traditional Christian hymns, which were often written in a more formal and poetic style."
1317,ObjectId(5714decc25ac0d8aee3f7a7b),Forola,Diana Anaid,Female,Oceania,english,"1 Contributor Forola Lyrics Every tree has your face Though the water tried to erase your name My dreams are just the same I could be touched but it isn't like you Find myself crying the night time through Wish that my pillow could lie Tell me your here by my side How could I leave I know you grieve for me So many tears to remember the laughter you gave Always on my mind like a book with one page I didn't mean to treat you so cruel I wasn't sure of what I was doing Now it's all done, now it's all said You know I felt the same as you did You were so strong, I was so wrong I can't believe my naivity You kept your cool, I was a fool Walk through the rain of stupidity You were so strong It all seems different now your gone You went away so long And now I know I was so wrong You were so strong It all seems different now your gone You went away so long and now I know I was so wrong",male,North America,"""my pillow could lie"", ""night time through"", ""stupidity"", ""book with one page"", ""I was a fool"", ""naivity""","The language and tone of the lyrics suggest a male narrator. The use of phrases like ""my pillow could lie"" and ""night time through"" implies a personal and introspective tone often associated with male songwriters. The words ""stupidity"" and ""naivity"" also suggest a more masculine perspective on regret and self-awareness. The lyrics also have a confessional and emotive tone, which is common in North American music, particularly in genres like indie rock or emo. The language patterns and cultural references in the lyrics do not suggest any specific African, Asian, European, South American, or Oceanian influence, making North America the most likely continent of origin.","LYRICS: Every tree has your face Though the water tried to erase your name My dreams are just the same I could be touched but it isn't like you Find myself crying the night time through Wish that my pillow could lie Tell me your here by my side How could I leave I know you grieve for me So many tears to remember the laughter you gave Always on my mind like a book with one page I didn't mean to treat you so cruel I wasn't sure of what I was doing Now it's all done, now it's all said You know I felt the same as you did You were so strong, I was so wrong I can't believe my naivity You kept your cool, I was a fool Walk through the rain of stupidity You were so strong It all seems different now your gone You went away so long And now I know I was so wrong You were so strong It all seems different now your gone You went away so long and now I know I was so wrong
GENDER: male
CONTINENT: North America
KEYWORDS: ""my pillow could lie"", ""night time through"", ""stupidity"", ""book with one page"", ""I was a fool"", ""naivity""
REASONING: The language and tone of the lyrics suggest a male narrator. The use of phrases like ""my pillow could lie"" and ""night time through"" implies a personal and introspective tone often associated with male songwriters. The words ""stupidity"" and ""naivity"" also suggest a more masculine perspective on regret and self-awareness. The lyrics also have a confessional and emotive tone, which is common in North American music, particularly in genres like indie rock or emo. The language patterns and cultural references in the lyrics do not suggest any specific African, Asian, European, South American, or Oceanian influence, making North America the most likely continent of origin."
1318,ObjectId(5714dee525ac0d8aee5208fc),Choose You,Stan Walker,Male,Oceania,english,"2 Contributors Choose You Lyrics Verse 1: I'm so mad at you right now That i can't think straight And i should shut my mouth So i don't let out The cruel things I'd say Bridge: Cos when love starts out It's all peachy I love you, you love me, seems easy It's like a walk in the park But sometimes it takes an act of my will And a walk in a park turns to uphill But i promise to give you my heart Chorus: I will choose to love you, yeah Even though i wanna stay mad Even though i wanna get angry Though it may be easier to walk away I will choose to stay and love you Verse 2: Love is just so beautiful But sometimes it takes work And the ones you love At times can leave you so hurt Bridge: Cos when love starts out It's all peachy I love you, you love me, seems easy It's like a walk in the park But the picture of love some try to paint It's a contrast to the real landscape But i promise to give you my heart Chorus: I will choose to love you, yeah Even though i wanna stay mad Even though i wanna get angry Though it may be easier to walk away I will choose to stay I choose you I choose you, yeah I choose you I choose you, everyday I choose you Verse 3: Some people think that love is just a feeling So they fall out of love as quickly as they fell in Some people think love is just a game But they the ones who always seem to end up getting played Though everything around might change One thing will still remain Chorus: I will choose to love you, yeah Even though i wanna stay mad Even though i wanna get angry Though it may be easier to walk away I will choose to stay I choose you I choose you, hey yeah I choose you, woahhh I choose you, everyday I choose you",female,North America,"""I love you, you love me, seems easy"", ""walk in the park"", ""heart"", ""beautiful"", ""stay mad"", ""get angry"", ""walk away"", ""I choose you"", ""everyday""","The narrator's perspective and language suggest that the speaker is a female. The phrase ""I love you, you love me, seems easy"" and the repeated use of ""I choose you"" throughout the song indicate a feminine tone, often associated with emotional expression and nurturing qualities. The speaker also uses phrases like ""heart"" and ""beautiful"" which are often used to describe emotions in a more emotional and empathetic way, which is more common in female expression. 
The cultural references","LYRICS: 
I'm so mad at you right now That i can't think straight And i should shut my mouth So i don't let out The cruel things I'd say 
Cos when love starts out It's all peachy I love you, you love me, seems easy It's like a walk in the park 
But sometimes it takes an act of my will And a walk in a park turns to uphill 
But i promise to give you my heart 
Even though i wanna stay mad Even though i wanna get angry Though it may be easier to walk away I will choose to love you, yeah 
Love is just so beautiful But sometimes it takes work And the ones you love At times can leave you so hurt 
Cos when love starts out It's all peachy I love you, you love me, seems easy It's like a walk in the park 
But the picture of love some try to paint It's a contrast to the real landscape 
But i promise to give you my heart 
Even though i wanna stay mad Even though i wanna get angry Though it may be easier to walk away I will choose to stay I choose you I choose you, yeah I choose you I choose you, everyday I choose you 
Some people think that love is just a feeling So they fall out of love as quickly as they fell in 
Some people think love is just a game But they the ones who always seem to end up getting played 
Though everything around might change One thing will still remain 
Even though i wanna stay mad Even though i wanna get angry Though it may be easier to walk away I will choose to stay I choose you I choose you, hey yeah I choose you, woahhh I choose you, everyday I choose you

GENDER: female
CONTINENT: North America
KEYWORDS: ""I love you, you love me, seems easy"", ""walk in the park"", ""heart"", ""beautiful"", ""stay mad"", ""get angry"", ""walk away"", ""I choose you"", ""everyday""
REASONING: 
The narrator's perspective and language suggest that the speaker is a female. The phrase ""I love you, you love me, seems easy"" and the repeated use of ""I choose you"" throughout the song indicate a feminine tone, often associated with emotional expression and nurturing qualities. The speaker also uses phrases like ""heart"" and ""beautiful"" which are often used to describe emotions in a more emotional and empathetic way, which is more common in female expression. 
The cultural references"
1319,ObjectId(5714ded225ac0d8aee440277),Abide With Me,Hayley Westenra,Female,Oceania,english,"3 Contributors Abide With Me Lyrics Abide with me; fast falls the eventide; The darkness deepens; Lord with me abide When other helpers fail and comforts flee Help of the helpless, O abide with me Swift to its close ebbs out life's little day; Earth's joys grow dim; its glories pass away; Change and decay in all around I see; O Thou who changest not, abide with me Hold Thou Thy cross before my closing eyes; Shine through the gloom and point me to the skies Heaven's morning breaks, and earth's vain shadows flee; In life, in death, O Lord, abide with me",male,Europe,"""eventide"", ""Lord"", ""Thou"", ""thee"", ""Thy"", ""helpless"", ""O Lord"", ""Lord's"", ""Thy cross"", ""heaven's morning""","The lyrics are written in a formal and poetic style, suggesting a male narrator. The use of words like ""Thou"", ""thee"", and ""Thy"" are indicative of a more traditional, formal language often used in Christian hymns, which were traditionally written by men. 

The continent of origin is Europe, as the lyrics contain references to Christian hymn-like language and themes, which originated in Europe. The specific words ""eventide"" and ""heaven's morning"" are also characteristic of English Christian hymns, which were influenced by European traditions.","LYRICS: 
Abide with me; fast falls the eventide; 
The darkness deepens; Lord with me abide 
When other helpers fail and comforts flee 
Help of the helpless, O abide with me 
Swift to its close ebbs out life's little day; 
Earth's joys grow dim; its glories pass away; 
Change and decay in all around I see; 
O Thou who changest not, abide with me 
Hold Thou Thy cross before my closing eyes; 
Shine through the gloom and point me to the skies 
Heaven's morning breaks, and earth's vain shadows flee; 
In life, in death, O Lord, abide with me

GENDER: male  
CONTINENT: Europe  
KEYWORDS: ""eventide"", ""Lord"", ""Thou"", ""thee"", ""Thy"", ""helpless"", ""O Lord"", ""Lord's"", ""Thy cross"", ""heaven's morning""
REASONING: 
The lyrics are written in a formal and poetic style, suggesting a male narrator. The use of words like ""Thou"", ""thee"", and ""Thy"" are indicative of a more traditional, formal language often used in Christian hymns, which were traditionally written by men. 

The continent of origin is Europe, as the lyrics contain references to Christian hymn-like language and themes, which originated in Europe. The specific words ""eventide"" and ""heaven's morning"" are also characteristic of English Christian hymns, which were influenced by European traditions."
1320,ObjectId(5714dec725ac0d8aee3b0ca5),Making A Scene,Bic Runga,Female,Oceania,english,"2 Contributors Making A Scene Lyrics Making a scene, I'm coming clean Thought I'd like to put you in your place My drink in your face Would it look so bad And now, I'll live this down Let me know if I'm talking much too loud Or drawing a crowd I don't mind if you don't mind I'd like to see you I'd like to take you on Now I can't go wrong Your thumb's been in my path for much too long Now I'm feeling strong And I will speak my mind I'd like to see you I'd like to take you on Take you on I'd like to see you I'd like to take you on Take you on",male,North America,"""making a scene"", ""coming clean"", ""talkin' much too loud"", ""drawing a crowd"", ""I'd like to see you"", ""take you on""","I classified the gender of the narrator as male because of the confident and assertive tone, using phrases like ""put you in your place"" and ""I will speak my mind"". These expressions suggest a masculine perspective, typical of a male narrator. The use of phrases like ""making a scene"" and ""talkin' much too loud"" also implies a sense of confidence and boldness often associated with males.

I classified the continent of origin as North America based on the language style and cultural references. The use of phrases like ""making a scene"" and ""drawing a crowd"" suggests an American influence, possibly from the country's vibrant music scene. The language itself, such as ""I'd like to take you on"", also has a distinct American flavor. Additionally, the themes of confidence, assertiveness, and a carefree attitude are common in American music, particularly in genres like rock and pop.","LYRICS: Making a scene, I'm coming clean Thought I'd like to put you in your place My drink in your face Would it look so bad And now, I'll live this down Let me know if I'm talking much too loud Or drawing a crowd I don't mind if you don't mind I'd like to see you I'd like to take you on Now I can't go wrong Your thumb's been in my path for much too long Now I'm feeling strong And I will speak my mind I'd like to see you I'd like to take you on Take you on I'd like to see you I'd like to take you on Take you on
GENDER: male
CONTINENT: North America
KEYWORDS: ""making a scene"", ""coming clean"", ""talkin' much too loud"", ""drawing a crowd"", ""I'd like to see you"", ""take you on""
REASONING: I classified the gender of the narrator as male because of the confident and assertive tone, using phrases like ""put you in your place"" and ""I will speak my mind"". These expressions suggest a masculine perspective, typical of a male narrator. The use of phrases like ""making a scene"" and ""talkin' much too loud"" also implies a sense of confidence and boldness often associated with males.

I classified the continent of origin as North America based on the language style and cultural references. The use of phrases like ""making a scene"" and ""drawing a crowd"" suggests an American influence, possibly from the country's vibrant music scene. The language itself, such as ""I'd like to take you on"", also has a distinct American flavor. Additionally, the themes of confidence, assertiveness, and a carefree attitude are common in American music, particularly in genres like rock and pop."
1321,ObjectId(5714ded425ac0d8aee4569f8),Stagefright,James Reyne,Male,Oceania,english,"1 Contributor Stagefright Lyrics I want everyone to think I've got the Gonzo connection As I hide behind my pseudonym and grammar correction Trying to find a story Trying to find an angle Trying to see how many free lunches I can wrangle It's alright Stagefright It's alright Stagefright It's alright Me and Rick were talking, sitting at the bar Full-blown come on over looking like a star We say ""Hey Mr. Barman, buy this man a beer He's a real Jet Jackson, synthesiser sneer"" It's alright Stagefright It's alright Stagefright It's alright I look like a lizard But feel like smoking I'm on a dead-line for dreams I know I'm a dead-beat I know I'm choking I need a head-line that screams I'm always at them parties, never on TV Even New York Steve says ""It's a blast!"" to me I say, ""Hi there Steve, who's that sweet lady on your arm?"" He says, ""Check you later"" with that Manhattan charm It's alright Stagefright It's alright Stagefright It's alright",male,North America,"""Gonzo connection"", ""Mr. Barman"", ""Jet Jackson"", ""Manhattan charm"", ""New York Steve"", ""pseudonym"", ""synthesiser sneer""","The use of phrases like ""Gonzo connection"" and ""synthesiser sneer"" suggests a reference to the American literary and music scene, particularly the counterculture movement of the 1960s and 1970s, which aligns with the continent of North America. The mention of ""Manhattan charm"" and ""New York Steve"" further reinforces this connection. The language style and cultural references point to an American context. The tone and perspective also suggest a male narrator, as the lyrics describe the narrator's experiences and interactions with other males, such as Rick and New York Steve.","LYRICS: I want everyone to think I've got the Gonzo connection As I hide behind my pseudonym and grammar correction Trying to find a story Trying to find an angle Trying to see how many free lunches I can wrangle It's alright Stagefright It's alright Stagefright It's alright Me and Rick were talking, sitting at the bar Full-blown come on over looking like a star We say ""Hey Mr. Barman, buy this man a beer He's a real Jet Jackson, synthesiser sneer"" It's alright Stagefright It's alright Stagefright It's alright I look like a lizard But feel like smoking I'm on a dead-line for dreams I know I'm a dead-beat I know I'm choking I need a head-line that screams I'm always at them parties, never on TV Even New York Steve says ""It's a blast!"" to me I say, ""Hi there Steve, who's that sweet lady on your arm?"" He says, ""Check you later"" with that Manhattan charm It's alright Stagefright It's alright Stagefright It's alright
GENDER: male
CONTINENT: North America
KEYWORDS: ""Gonzo connection"", ""Mr. Barman"", ""Jet Jackson"", ""Manhattan charm"", ""New York Steve"", ""pseudonym"", ""synthesiser sneer""
REASONING: The use of phrases like ""Gonzo connection"" and ""synthesiser sneer"" suggests a reference to the American literary and music scene, particularly the counterculture movement of the 1960s and 1970s, which aligns with the continent of North America. The mention of ""Manhattan charm"" and ""New York Steve"" further reinforces this connection. The language style and cultural references point to an American context. The tone and perspective also suggest a male narrator, as the lyrics describe the narrator's experiences and interactions with other males, such as Rick and New York Steve."
1322,ObjectId(5714dec425ac0d8aee391bc2),Song To Self,Amber Lawrence,Female,Oceania,english,"1 Contributor Song To Self Lyrics ( Amber Lawrence ) It's hard not to be hard on yourself It seems like it's easy to be someone else Try to do the best that you can And if you fall short you can just try again So you got yourself burned girl Said somethings you regret Saying sorry won't hurt girl There's a world out there A waiting for you To break all through It's hard not to be hard on yourself It seems like it's easy to be someone else Try to do the best that you can And if you fall short you can just try again Take a moment and breathe girl And don't get stuck in your head Take a minute and see girl There's a world out there A waiting for you To break all through It's hard not to be hard on yourself It seems like it's easy to be someone else Try to do the best that you can And if you fall short you can just try again It's hard, ooh I'm proud of you Breaking all through It's hard not to be hard on yourself It seems like it's easy to be someone else Try to do the best that you can And if you fall short you can just try again Oh, it's hard not to be hard on yourself It seems like it's easy to be someone else Try to do the best that you can I'm proud of you Breaking all through",female,North America,"girl, girl (repeated), hard on yourself, someone else, proud of you, break all through","I inferred that the narrator is female due to the repeated use of the word ""girl"" in the lyrics, which is often used as a term of endearment for females. The tone and perspective of the lyrics also suggest a female narrator, as the song appears to be addressing a female audience and offering advice on self-compassion and empowerment. The language style and cultural references in the lyrics do not suggest a specific continent, but the use of phrases like ""break all through"" and the overall theme of self-empowerment are commonly found in North American popular music, particularly in the country and pop genres.","LYRICS: It's hard not to be hard on yourself It seems like it's easy to be someone else Try to do the best that you can And if you fall short you can just try again So you got yourself burned girl Said somethings you regret Saying sorry won't hurt girl There's a world out there A waiting for you To break all through It's hard not to be hard on yourself It seems like it's easy to be someone else Try to do the best that you can And if you fall short you can just try again Take a moment and breathe girl And don't get stuck in your head Take a minute and see girl There's a world out there A waiting for you To break all through It's hard not to be hard on yourself It seems like it's easy to be someone else Try to do the best that you can And if you fall short you can just try again It's hard, ooh I'm proud of you Breaking all through It's hard not to be hard on yourself It seems like it's easy to be someone else Try to do the best that you can And if you fall short you can just try again Oh, it's hard not to be hard on yourself It seems like it's easy to be someone else Try to do the best that you can I'm proud of you Breaking all through  
GENDER: female  
CONTINENT: North America  
KEYWORDS: girl, girl (repeated), hard on yourself, someone else, proud of you, break all through  
REASONING: I inferred that the narrator is female due to the repeated use of the word ""girl"" in the lyrics, which is often used as a term of endearment for females. The tone and perspective of the lyrics also suggest a female narrator, as the song appears to be addressing a female audience and offering advice on self-compassion and empowerment. The language style and cultural references in the lyrics do not suggest a specific continent, but the use of phrases like ""break all through"" and the overall theme of self-empowerment are commonly found in North American popular music, particularly in the country and pop genres."
